1   714927  714928  947084  947085  740775  728170
2   717371  717372  934792  934793  745202  732710
4   713453  713454  938505  938506  750541  730419
8   704000  704001  935024  935025  745011  724798
16  697051  697052  930898  930899  746454  731250
32  688597  688598  931763  931764  748286  731657
64  686784  686785  939694  939695  740980  722478
128 674447  674448  930575  930576  742196  723733
256 657051  657052  907451  907452  740007  717115
512 651677  651678  902984  902985  718341  708200
1024	619363	619364	868516	868517	712384	693917
2048	559866	559867	793259	793260	684433	674277
4096	469220	469221	706605	706606	629194	612532
8192	367311	367312	627682	627683	554245	541436
16384	249573	249574	469472	469473	446906	437599
