1   553383  553384  1009820  1009820  731713  731713
2   550020  550021  1005658  1005659  726596  726596
4   549600  549601  993347  993348  733634  733634
8   549073  549074  1000195  1000196  724320  724320
16  549514  549515  1000525  1000526  725440  725440
32  548447  548447  1007185  1007186  728707  728707
64  545329  545330  994739  994740  720612  720612
128 540519  540520  999002  999003  722801  722801
256 521171  521172  994474  994475  723606  723606
512 508589  508590  982028  982029  709207  709207
1024	483899	483900	951564	951565	707136	707136
2048	446004	446005	897395	897396	688775	688775
4096	387509	387510	795327	795328	650128	650128
8192	302141	302142	677573	677573	605011	605011
16384	211149	211150	505129	505130	503729	503729
