1	1159849	1159849	985536	985536	427906	427906	1838370	1838370
2	1151023	1151023	988000	988000	428911	428911	1724348	1724348
4	1154867	1154867	989624	989624	428147	428147	1676809	1676809
8	1143217	1143217	983939	983939	426783	426783	1614072	1614072
16	1125275	1125275	980890	980890	424960	424960	1601554	1601554
32	1128981	1128981	985902	985902	429033	429033	1589172	1589172
64	1101200	1101200	975575	975575	426793	426793	1566994	1566994
128	1058599	1058599	977760	977760	421511	421511	1531398	1531398
256	983766	983766	972058	972058	418119	418119	1427194	1427194
512	885757	885757	922080	922080	411923	411923	1259498	1259498
1024	755090	755090	799680	799680	463988	463988	968138	968138
2048	575955	575955	629764	629764	437400	437400	663761	663761
4096	388472	388472	408505	408505	372535	372535	408223	408223
8192	262348	262348	289960	289960	333611	333611	248790	248790
16384	186284	186284	176092	176092	274833	274833	140657	140657
