1	537894	537894	1507754	1507754	530271	530271	4000488	4000488
2	538587	538587	1513008	1513008	526868	526868	3827553	3827553
4	536886	536886	1507753	1507753	515001	515001	3754113	3754113
8	539140	539140	1509625	1509625	529006	529006	3753260	3753260
16	540883	540883	1502556	1502556	525746	525746	3857426	3857426
32	537277	537277	1504196	1504196	524605	524605	4199442	4199442
64	529188	529188	1504607	1504607	519086	519086	4139794	4139794
128	524924	524924	1496666	1496666	516056	516056	4166290	4166290
256	502111	502111	1412554	1412554	520030	520030	3861920	3861920
512	443904	443904	1373139	1373139	581477	581477	3252110	3252110
1024	467082	467082	1190510	1190510	593941	593941	2353643	2353643
2048	429993	429993	967822	967822	584436	584436	1460241	1460241
4096	365776	365776	763228	763228	546152	546152	829584	829584
8192	275454	275454	446314	446314	493871	493871	505873	505873
16384	207719	207719	211762	211762	429703	429703	326267	326267
