1   1919955  1919955  1454549 1454549 596044  596044 3320562 3320562
2   1929907  1929907  1507194 1507194 596055  596055 3197381 3197381
4   1928627  1928627  1510299 1510299 597056  597056 3150297 3150297
8   1883607  1883607  1503457 1503457 595376  595376 2805778 2805778
16  1891068  1891068  1505280 1505280 594741  594741 2747410 2747410
32  1881287  1881287  1512486 1512486 592212  592212 2767590 2767590
64  1827200  1827200  1526600 1526600 590804  590804 2779697 2779697
128 1744017  1744017  1600200 1600200 586460  586460 2672735 2672735
256 1607224  1607224  1555750 1555750 577130  577130 2374032 2374032
512 1390792  1390792  1427619 1427619 569271  569271 1993970 1993970
1024	1176572	1176572	1176774	1176774	606248	606248 1393740 1393740
2048	801656	801656	887619	887619	565686	565686 857393 857393
4096	536607	536607	517264	517264	475933	475933 482003 482003
8192	336493	336493	390888	390888	404821	404821 287576 287576
16384	240334	240334	261424	261424	320299	320299 157594 157594
