Sheet = "11_002_Clinton_Missouri_Switch_Replacement_08152011.pdf" 2011-05-24
-------------
"WCST","WCCITY","SWNAME","SWCLLI","SWTYPE","SWDESC","SPC","HOST","EFFDATE"
"MO","Clinton","Clinton","CLTNMOXADS0","DMH","Genband DMS100","239-012-017","-","2011-09-28"
"MO","Clinton","Clinton","CLTNMOXARS0","-","CALIX Digital Line Concentrator","239-012-002","WRBGMOXADS0","2011-09-28"
"MO","Warrensburg","Warrensburg","WRBGMOXADS0","DMH","DMS100","239-012-002","-","2011-09-28"
-------------
"NPA","NXX","SWCLLI","EFFDATE"
"660","885","CLTNMOXARS0","2011-09-28"
"660","890","CLTNMOXARS0","2011-09-28"
Sheet = "11_003_Deepwater_Missouri_Rehome_08152011.pdf" 2011-05-24
-------------
"WCST","WCCITY","SWNAME","SWCLLI","SWTYPE","SWDESC","SPC","HOST","EFFDATE"
"MO","Deepwater","Deepwater","DPWRMOXARS0","RLC","Genband DMS RLC Remote","239-012-017","CLTNMOXADS0","-"
"MO","Deepwater","Deepwater","DPWRMOXARS0","RLC","Genband DMS RLC Remote","239-012-002","WRBGMOXADS0","2011-08-15"
"MO","Warrensburg","Warrensburg","WRBGMOXADS0","DMH","Genband DMS100","239-012-002","-","2011-08-15"
"MO","Clinton","Clinton","CLTNMOXADS0","DMH","Genband DMS100","239-012-017","-","2011-08-15"
-------------
"NPA","NXX","X","SWCLLI","EFFDATE"
"660","696","0","DPWRMOXARS0","-"
"660","696","2","DPWRMOXARS0","-"
Sheet = "NCF_031510.pdf" 2010-03-15
-------------
"WCCLLI","WCNAME","WCST"
"PNHRNCXA","Pinehurst","NC"
"RCMTNCXA","Rocky Mount","NC"
"ELTNTNXA","Elizabethton","TN"
"SLRKPAXS","Slippery Rock","PA"
"BRSTTNXA","Bristol","TN"
"HCKRNCXA","Hickory","NC"
"KGPTTNXA","Kingsport","TN"
"WRSWINXA","Warsaw","IN"
"MTPLVAXA","Montpelier","VA"
"WSTROHXA","Wooster","OH"
"CHVLVAXA","Charlottesville","VA"
"MTVROHXA","Mount Vernon","OH"
"ALXNMNXA","Alexandria","MN"
"MKVLNCXA","Mocksville","NC"
"SCVLVAXA","Scottsville","VA"
"SDVLVAXA","Stanardsville","VA"
"SALDSCXA","Saluda","SC"
"WASHVAXA","Washington Rappahannock","VA"
"WJSNNCXA","West Jefferson","NC"
"AVLLINXA","Avilla","IN"
"CRNNINXA","Corunna","IN"
"NWOXPAXN","New Oxford","PA"
"RCFROHXA","Rockford","OH"
"ELKNNCXA","Elkin","NC"
"KNTWINXA","Knightstown","IN"
"LAPLINXA","Lapel","IN"
"WKSNINXA","Wilkinson","IN"
"ADVLOHXA","Adamsville","OH"
"MTSTOHXA","Mount Sterling","OH"
"BRTLOHXA","Bartlett","OH"
"CKVLOHXA","Crooksville","OH"
"GLSTOHXA","Glouster","OH"
"BTLRPAXB","Butler","PA"
"JNCYOHXA","Junction City","OH"
"CHBGPAXC","Chambersburg","PA"
"PLMOINXA","Plymouth","IN"
"ROLLMOXA","Rolla","MO"
"OSWTKSXA","Osawatomie","KS"
"CFTNTXXA","Clifton","TX"
"ARP TXXA","Arp","TX"
"LOMTTXXA","Lometa","TX"
"MFFTTXXA","Moffat","TX"
"PTTSTXXA","Pettus","TX"
"SALDTXXA","Salado","TX"
"KGWDTXXC","Kings Crossing","TX"
"STDLTXXA","Stockdale","TX"
"WRSWMOXA","Warsaw","MO"
"WCLMTXXA","West Columbia","TX"
"MTVIVAXA","Martinsville","VA"
"BRKNVAXA","Brookneal","VA"
"ESTLSCXA","Estill","SC"
"DLWYVAXA","Dillwyn","VA"
"KLLNTXXA","Killeen","TX"
"CABTARXA","Cabot","AR"
"MRNNFLXA","Marianna","FL"
"RCMTNCXA","Rocky Mount","NC"
"GLSTOHXA","Glouster","OH"
"JNCYKSXA","Junction City","KS"
"WRBGMOXA","Warrensburg","MO"
"KLLNTXXA","Killeen","TX"
"ARSNTXXA","Anderson","TX"
"FRTNTXXA","Frankston","TX"
"MRCHTXXA","Murchison","TX"
"WHCYORXX","White City","OR"
"MLBGOHXA","Millersburg","OH"
"HNVLMOXA","Harrisonville","MO"
"LNJCMOXA","Lone Jack","MO"
"TLHSFLXA","Tallahassee","FL"
"LKPETXXA","Lake Palestine East","TX"
"LKPETXXA","Lake Palestine East","TX"
