Sheet = "8102-PART1.pdf"
-------------
"SWCLLI","POPID","BEGDATE","ENDDATE","REPLDATE"
"AAPKOKXADS0","4230","10/1/99","9/30/06","-"
"ABBGNCXA648","3971","10/1/99","9/30/06","-"
"ABDLFLXA96H","3322","10/1/99","9/30/06","-"
"ABDLWIXARS0","4660","10/1/99","9/30/06","-"
"ABHGMIMNDS0","3795","10/1/99","9/30/06","-"
"ABHLMIBHDS0","3795","10/1/99","9/30/06","-"
"ABIQNMXCRS1","4125","10/1/99","9/30/06","-"
"ABITPRURRS1","4311","10/1/99","9/30/06","-"
"ABLNKSCDDS0","3650","10/1/99","9/30/06","-"
"ABLNTX031MD","4420","10/1/99","9/30/06","-"
"ABLNTX82X0X","4420","10/1/99","9/30/06","-"
"ABLNTX82X1Z","4420","10/1/99","9/30/06","-"
"ABLNTX82X2X","4420","10/1/99","9/30/06","-"
"ABLNTX934MD","4420","10/1/99","9/30/06","-"
"ABLNTX93AMD","4420","10/1/99","9/30/06","-"
"ABLNTX93DS0","4420","10/1/99","9/30/06","-"
"ABLNTXCM0MD","4420","10/1/99","9/30/06","-"
"ABLNTXDE1MD","4420","10/1/99","9/30/06","-"
"ABLNTXOR5MD","4420","10/1/99","9/30/06","-"
"ABLNTXORCG0","4420","10/1/99","9/30/06","-"
"ABLNTXORDS0","4420","10/1/99","9/30/06","-"
"ABLNTXORRS1","4420","10/1/99","9/30/06","-"
"ABLNTXOWDS0","4420","10/1/99","9/30/06","-"
"ABLNTXRO0MD","4420","10/1/99","9/30/06","-"
"ABNGILXDRS0","8205","10/1/99","9/30/06","-"
"ABNGVAAE00T","4385","10/1/99","9/30/06","-"
"ABNGVAXADS0","4385","10/1/99","9/30/06","-"
"ABRCNDXADS0","4030","10/1/99","9/30/06","-"
"ABRDIDXCDS0","8352","10/1/99","9/30/06","-"
"ABRDMDABDS0","3750","10/1/99","9/30/06","-"
"ABRDMSESDS0","3920","10/1/99","9/30/06","-"
"ABRDNCXADS0","3971","10/1/99","9/30/06","-"
"ABRDOH79RS1","2270","10/1/99","9/30/06","-"
"ABRDSD01RL0","4370","10/1/99","9/30/06","-"
"ABRDSDAGCM1","4370","10/1/99","9/30/06","-"
"ABRDSDCO22E","4370","10/1/99","9/30/06","-"
"ABRDSDCORS2","4370","10/1/99","9/30/06","-"
"ABRDSDQBCM1","4370","10/1/99","9/30/06","-"
"ABRDSDRSCM2","4370","10/1/99","9/30/06","-"
"ABRDWA01DS0","4658","10/1/99","9/30/06","-"
"ABRDWAAECM1","4658","10/1/99","9/30/06","-"
"ABRDWAAFCM1","4658","10/1/99","9/30/06","-"
"ABRMWIXADS0","4660","10/1/99","9/30/06","-"
"ABRNTXXADS0","4520","10/1/99","9/30/06","-"
"ABRYCAXF85E","3110","10/1/99","9/30/06","-"
"ABRYTXGIRS0","4532","10/1/99","9/30/06","-"
"ABSCNJ02DS5","4072","10/1/99","9/30/06","-"
"ABSRMTXCDS0","3930","10/1/99","9/30/06","-"
"ABSRNDXADS0","4030","10/1/99","9/30/06","-"
"ABVLALXADS0","8316","10/1/99","9/30/06","-"
"ABVLGAXARS1","3330","10/1/99","9/30/06","-"
"ABVLKSXADS0","3660","10/1/99","9/30/06","-"
"ABVLLAMADS0","3720","10/1/99","9/30/06","-"
"ABVLPAESRS1","4310","10/1/99","9/30/06","-"
"ABVLSCXADS0","4360","10/1/99","9/30/06","-"
"ACCYTXXARS0","4560","10/1/99","9/30/06","-"
"ACDMSDXADS1","4370","10/1/99","9/30/06","-"
"ACFFTXXADS0","4520","10/1/99","9/30/06","-"
"ACHLOKXARS1","4230","10/1/99","9/30/06","-"
"ACHLTNMTRS0","2232","10/1/99","9/30/06","-"
"ACKLIACORS8","3400","10/1/99","9/30/06","-"
"ACKRMSXADS0","3920","10/1/99","9/30/06","-"
"ACKRTXXARS0","4530","10/1/99","9/30/06","-"
"ACLKILXARS0","8543","10/1/99","9/30/06","-"
"ACMCVAAACM1","4616","10/1/99","9/30/06","-"
"ACMEMIMNDS0","3800","10/1/99","9/30/06","-"
"ACMENCMA65F","8020","10/1/99","9/30/06","-"
"ACMEWAXARS1","4655","10/1/99","9/30/06","-"
"ACSHMAPLDS1","3741","10/1/99","9/30/06","-"
"ACTNCA11RS1","3187","10/1/99","9/30/06","-"
"ACTNIN01DS0","3590","10/1/99","9/30/06","-"
"ACTNMAMADS1","3747","10/1/99","9/30/06","-"
"ACTNMAPLDS0","3740","10/1/99","9/30/06","-"
"ACTNTXXADS0","2040","10/1/99","9/30/06","-"
"ACVLALXADS0","3000","10/1/99","9/30/06","-"
"ACWOGAMA97E","3335","10/1/99","9/30/06","-"
"ADA MIMNDS0","3800","10/1/99","9/30/06","-"
"ADA MNXADS0","4030","10/1/99","9/30/06","-"
"ADA OHXARS1","4200","10/1/99","9/30/06","-"
"ADA OKMADS0","4230","10/1/99","9/30/06","-"
"ADAKAKXG592","2220","10/1/99","9/30/06","-"
"ADAKAKZA855","2220","10/1/99","9/30/06","-"
"ADARIAXORS0","3400","10/1/99","9/30/06","-"
"ADARILXDRS0","8205","10/1/99","9/30/06","-"
"ADAROHXARS1","4200","10/1/99","9/30/06","-"
"ADAROKXADS0","4240","10/1/99","9/30/06","-"
"ADAROR21DS0","4250","10/1/99","9/30/06","-"
"ADBNIAXODS0","2262","10/1/99","9/30/06","-"
"ADBNMNXADS0","4030","10/1/99","9/30/06","-"
"ADBNPA01CM0","4300","10/1/99","9/30/06","-"
"ADCTNYXARS2","2280","10/1/99","9/30/06","-"
"ADELGAXADS0","3330","10/1/99","9/30/06","-"
"ADELIACORL0","3400","10/1/99","9/30/06","-"
"ADELIACORS9","3400","10/1/99","9/30/06","-"
"ADENOHXARS0","4191","10/1/99","9/30/06","-"
"ADINCAXFRS0","3145","10/1/99","9/30/06","-"
"ADJUPRURRS1","4311","10/1/99","9/30/06","-"
"ADLNCAXFDS0","3082","10/1/99","9/30/06","-"
"ADLPMDMTCM1","3221","10/1/99","9/30/06","-"
"ADMSMAMADS0","2200","10/1/99","9/30/06","-"
"ADMSMNXBDS0","3855","10/1/99","9/30/06","-"
"ADMSNDXARS9","4030","10/1/99","9/30/06","-"
"ADMSNEXLRS0","4050","10/1/99","9/30/06","-"
