Numeric
2-000	Liechtenstein (Principality of)
2-001	Italy
2-002	Netherlands (Kingdom of the)
2-003	Italy
2-004	Greece
2-005	Greece
2-006	Netherlands (Kingdom of the)
2-007	Netherlands (Kingdom of the)
2-008	Netherlands (Kingdom of the)
2-009	Netherlands (Kingdom of the)
2-010	Netherlands (Kingdom of the)
2-011	Netherlands (Kingdom of the)
2-012	Belgium
2-013	Belgium
2-014	Belgium
2-015	Belgium
2-016	France
2-017	France
2-018	France
2-019	France
2-020	France
2-021	France
2-022	France
2-023	France
2-024	Monaco (Principality of)
2-025	Austria
2-026	Austria
2-027	Spain
2-028	Spain
2-029	Spain
2-030	Spain
2-031	Spain
2-032	Hungary (Republic of)
2-033	Germany (Federal Republic of)
2-034	Germany (Federal Republic of)
2-035	Germany (Federal Republic of)
2-036	Germany (Federal Republic of)
2-037	Germany (Federal Republic of)
2-038	Germany (Federal Republic of)
2-039	Germany (Federal Republic of)
2-040	Serbia (Republic of)
2-041	Italy
2-042	Italy
2-043	Italy
2-044	Italy
2-045	Italy
2-046	Italy
2-047	Italy
2-048	Italy
2-049	Italy
2-050	Italy
2-051	Italy
2-052	Romania
2-053	Switzerland (Confederation of)
2-054	Switzerland (Confederation of)
2-055	Switzerland (Confederation of)
2-056	Switzerland (Confederation of)
2-057	Switzerland (Confederation of)
2-058	Switzerland (Confederation of)
2-059	Switzerland (Confederation of)
2-060	Czech Republic
2-061	Switzerland (Confederation of)
2-062	Switzerland (Confederation of)
2-063	Switzerland (Confederation of)
2-064	Austria
2-065	Austria
2-066	Austria
2-067	Austria
2-068	United Kingdom of Great Britain and Northern Ireland
2-069	United Kingdom of Great Britain and Northern Ireland
2-070	United Kingdom of Great Britain and Northern Ireland
2-071	United Kingdom of Great Britain and Northern Ireland
2-072	United Kingdom of Great Britain and Northern Ireland
2-073	United Kingdom of Great Britain and Northern Ireland
2-074	United Kingdom of Great Britain and Northern Ireland
2-075	United Kingdom of Great Britain and Northern Ireland
2-076	Denmark
2-077	Denmark
2-078	Denmark
2-079	Denmark
2-080	Sweden
2-081	Sweden
2-082	Sweden
2-083	Sweden
2-084	Norway
2-085	Norway
2-086	Norway
2-087	Norway
2-088	Finland
2-089	Finland
