1   516020  516021  764409  764410  923842  923843
2   515310  515311  765656  765657  929535  929535
4   515997  515998  761248  761249  927897  927897
8   513006  513007  772065  772066  922394  922394
16  513094  513095  762471  762472  922647  922647
32  512658  512659  760241  760242  915877  915877
64  510219  510220  759330  759331  913909  913909
128 509139  509140  758634  758635  911596  911596
256 473239  473240  751053  751054  918316  918316
512 466767  466768  745349  745350  903399  903399
1024	447033	447034	729452	729453	890957	890957
2048	420619	420620	707935	707936	863230	863050
4096	375288	375289	638564	638439	806833	806833
8192	301629	301630	572025	572026	741339	741312
16384	223735	223736	463530	463531	601772	601725
