1   479564  479565  591461  591462  482975  481652  
2   480678  480679  592805  592806  481606  480276  
4   478366  478367  593255  593256  480746  479680  
8   473615  473616  589930  589931  479021  477301  
16  471973  471974  585814  585815  478449  476241  
32  474980  474981  585272  585273  480508  478812  
64  466618  466619  587244  587245  474745  472577  
128 465623  465624  582449  582450  472031  470381  
256 458158  458159  587534  587534  466018  463747  
512 446356  446357  586409  586410  450769  448312  
1024	421072	421073	567213	567214	435038	433157	
2048	368990	368991	543818	543819	397745	395329	
4096	290402	290403	500380	500381	344058	341942	
8192	218918	218919	438956	438957	265907	264098	
16384	137005	137006	348956	348957	192224	191737	
