1   1418349  1418349  1050918 1050918 5071696  5071696
2   1425909  1425909  1042983 1042983 4845285  4845285
4   1418697  1418697  1043784 1043784 4754623  4754623
8   1419830  1419830  1048000 1048000 4727544  4727544
16  1419056  1419056  1040074 1040074 4689694  4689694
32  1406700  1406700  1040154 1040154 4596504  4596504
64  1390512  1390512  1038922 1038922 4527089  4527089
128 1350684  1350684  1017706 1017706 4328184  4328184
256 1213761  1213761  967574 967574 3970622  3970622
512 1108160  1108160  929658 929658 3369936  3369936
1024	892694	892694	739541	739541	2458878	2458878
2048	660862	660862	677795	677795	1525517	1525517
4096	481963	481963	507645	507645	948364	948364
8192	289500	289500	302640	302640	599391	599391
16384	201938	201938	200599	200599	434059	434059
