1   660920  660920  562681 562681 253409 253409 1003660  1003660
2   660672  660672  561184 561184 251192 251192 962138  962138
4   660264  660264  565950 565950 252598 252598 913998  913998
8   645761  645761  564792 564792 251748 251748 878613  878613
16  649374  649374  564919 564919 253331 253331 862564  862564
32  640017  640017  565496 565496 252922 252922 842985  842985
64  636189  636189  570165 570165 249046 249046 805907  805907
128 608900  608900  587279 587279 248986 248986 776211  776211
256 569356  569356  582803 582803 242621 242621 714537  714537
512 494228  494228  550545 550545 238232 238232 635091  635091
1024	419926	419926	499188	499188	509210	509210	510518	510518
2048	317916	317916	420674	420674	373348	373348	367417	367417
4096	213035	213035	297548	297548	254189	254189	236627	236627
8192	143132	143132	210088	210088	173455	173455	146353	146353
16384	85210	85210	140712	140712	105068	105068	79257	79257
