1   1490096  1490096  1295953 1295953 794267 794267 2071255  2071255
2   1492519  1492519  1300702 1300702 780870 780870 1918695  1918695
4   1479561  1479561  1310128 1310128 786725 786725 1843958  1843958
8   1483374  1483374  1309645 1309645 785552 785552 1845269  1845269
16  1489035  1489035  1313710 1313710 784211 784211 1811758  1811758
32  1467932  1467932  1304916 1304916 785175 785175 1780677  1780677
64  1457458  1457458  1322273 1322273 778824 778824 1779221  1779221
128 1380763  1380763  1327997 1327997 774116 774116 1722901  1722901
256 1294333  1294333  1302137 1302137 758131 758131 1594517  1594517
512 1149774  1149774  1245614 1245614 729324 729324 1390316  1390316
1024	953302	953302	1127143	1127143	1240170 1240170 1076666	1076666
2048	706326	706326	932318	932318	929772 929772 743765	743765
4096	499827	499827	556536	556536	646626 646626 456152	456152
8192	343355	343355	374340	374340	456534 456534 279368	279368
16384	210356	210356	352533	352533	318679 318679 152316	152316
