1   1333173  1333173  1511370 1511370 4827133  4827133 5071696  5071696
2   1331025  1331025  1511837 1511837 4816122  4816122 4845285  4845285
4   1330453  1330453  1501834 1501834 4755344  4755344 4754623  4754623
8   1328205  1328205  1503375 1503375 4771734  4771734 4727544  4727544
16  1331760  1331760  1492952 1492952 4695088  4695088 4689694  4689694
32  1320000  1320000  1465016 1465016 4515231  4515231 4596504  4596504
64  1301652  1301652  1470055 1470055 4487897  4487897 4527089  4527089
128 1268013  1268013  1507999 1507999 4302712  4302712 4328184  4328184
256 1142112  1142112  1420520 1420520 3903554  3903554 3970622  3970622
512 1036576  1036576  1356672 1356672 3317861  3317861 3369936  3369936
1024	829334	829334	1204463	1204463	2525199	2525199	2458878	2458878
2048	622909	622909	966028	966028	1697937	1697937	1525517	1525517
4096	454732	454732	739301	739301	986178	986178	948364	948364
8192	268540	268540	446356	446356	604284	604284	599391	599391
16384	187290	187290	220922	220922	439310	439310	434059	434059
