1   1048903  1048903  916897 916897 439102  439102
2   1048864  1048864  920000 920000 440033  440033
4   1048279  1048279  921736 921736 440425  440425
8   1035034  1035034  918778 918778 441404  441404
16  1032488  1032488  924882 924882 440339  440339
32  1027571  1027571  926270 926270 441820  441820
64  1020932  1020932  933299 933299 441041  441041
128 987738  987738  949032 949032 442848  442848
256 943504  943504  943356 943356 430718  430718
512 863370  863370  914430 914430 427847  427847
1024	754617	754617	834159	834159	898781	898781
2048	600251	600251	692230	692230	690802	690802
4096	439755	439755	472565	472565	509214	509214
8192	318068	318068	380056	380056	388273	388273
16384	196754	196754	248904	248904	244923	244923
