1   2060632  2060632  1512800 1512800 601439  601439 3178522 3178522
2   2041904  2041904  1524484 1524484 592569  592569 3152942 3152942
4   2016972  2016972  1519728 1519728 597374  597374 3064443 3064443
8   2069331  2069331  1521674 1521674 594551  594551 2893844 2893844
16  1920362  1920362  1522540 1522540 594862  594862 2715381 2715381
32  1983126  1983126  1542234 1542234 592210  592210 2711968 2711968
64  1860800  1860800  1544000 1544000 588206  588206 2682580 2682580
128 1755081  1755081  1608936 1608936 585374  585374 2582985 2582985
256 1633906  1633906  1587627 1587627 580054  580054 2303522 2303522
512 1437318  1437318  1470330 1470330 565992  565992 2074344 2074344
1024	1166695	1166695	1190428	1190428	1439691	1439691 1432188 1432188
2048	838440	838440	967371	967371	988345	988345 897144 897144
4096	561080	561080	582320	582320	666347	666347 520906 520906
8192	360368	360368	407752	407752	463388	463388 309979 309979
16384	225388	225388	317405	317405	335190	335190 169979 169979
